"ID";"Active (0/1)";"Name";"Default Category";"Tax rules ID";"Reference #";"url_image"
"18";"1";"Guantes de Entrenamiento";"35";"1";"GM";"https://pesaschile.cl/2/img/p/1/1/2/7/1127-thickbox_default.jpg"
"18";"1";"Guantes de Entrenamiento";"35";"1";"GM";"https://pesaschile.cl/2/img/p/1/1/2/8/1128-thickbox_default.jpg"
"26";"1";"Pesos Tobillos muñecas 1.5kg (2 unidades)";"2";"1";"PM1.5";"https://pesaschile.cl/2/img/p/6/9/4/694-thickbox_default.jpg"
"32";"1";"Remo Contrapeso JR";"2";"1";"MRCJ";"https://pesaschile.cl/2/img/p/1/5/1/4/1514-thickbox_default.jpg"
"33";"1";"Chaleco de lastre 10kg";"2";"1";"CL10";"https://pesaschile.cl/2/img/p/9/0/90-thickbox_default.jpg"
"34";"1";"Chaleco de lastre 15kg";"2";"1";"CL15";"https://pesaschile.cl/2/img/p/9/1/91-thickbox_default.jpg"
"35";"1";"Chaleco de lastre 20kg";"2";"1";"CL20";"https://pesaschile.cl/2/img/p/9/2/92-thickbox_default.jpg"
"38";"1";"Pesos Tobillo muñeca 2 kg (2 unidades)";"2";"1";"PM2";"https://pesaschile.cl/2/img/p/6/9/7/697-thickbox_default.jpg"
"38";"1";"Pesos Tobillo muñeca 2 kg (2 unidades)";"2";"1";"PM2";"https://pesaschile.cl/2/img/p/6/9/8/698-thickbox_default.jpg"
"43";"1";"Punching Bag Grande";"2";"1";"DCPG";"https://pesaschile.cl/2/img/p/1/2/3/9/1239-thickbox_default.jpg"
"48";"1";"Cuerda de salto con rodamientos";"2";"1";"CSP";"https://pesaschile.cl/2/img/p/1/4/3/7/1437-thickbox_default.jpg"
"48";"1";"Cuerda de salto con rodamientos";"2";"1";"CSP";"https://pesaschile.cl/2/img/p/1/4/3/8/1438-thickbox_default.jpg"
"48";"1";"Cuerda de salto con rodamientos";"2";"1";"CSP";"https://pesaschile.cl/2/img/p/1/4/3/9/1439-thickbox_default.jpg"
"51";"1";"Escalera Agilidad";"2";"1";"FIEC";"https://pesaschile.cl/2/img/p/1/1/1/111-thickbox_default.jpg"
"54";"1";"Hand Grip Mango Esponja x2 UN";"2";"1";"HG5";"https://pesaschile.cl/2/img/p/7/6/0/760-thickbox_default.jpg"
"54";"1";"Hand Grip Mango Esponja x2 UN";"2";"1";"HG5";"https://pesaschile.cl/2/img/p/7/6/1/761-thickbox_default.jpg"
"54";"1";"Hand Grip Mango Esponja x2 UN";"2";"1";"HG5";"https://pesaschile.cl/2/img/p/1/2/6/8/1268-thickbox_default.jpg"
"54";"1";"Hand Grip Mango Esponja x2 UN";"2";"1";"HG5";"https://pesaschile.cl/2/img/p/1/2/6/9/1269-thickbox_default.jpg"
"57";"1";"Iron Gym Xtreme Generic";"2";"1";"BP200";"https://pesaschile.cl/2/img/p/1/2/2/122-thickbox_default.jpg"
"57";"1";"Iron Gym Xtreme Generic";"2";"1";"BP200";"https://pesaschile.cl/2/img/p/1/2/3/123-thickbox_default.jpg"
"57";"1";"Iron Gym Xtreme Generic";"2";"1";"BP200";"https://pesaschile.cl/2/img/p/1/2/4/124-thickbox_default.jpg"
"57";"1";"Iron Gym Xtreme Generic";"2";"1";"BP200";"https://pesaschile.cl/2/img/p/6/7/6/676-thickbox_default.jpg"
"57";"1";"Iron Gym Xtreme Generic";"2";"1";"BP200";"https://pesaschile.cl/2/img/p/6/7/7/677-thickbox_default.jpg"
"58";"0";"Hand Grip";"2";"1";"HG2";"https://pesaschile.cl/2/img/p/1/1/2/9/1129-thickbox_default.jpg"
"60";"1";"Push Up Promachine";"2";"1";"PUP";"https://pesaschile.cl/2/img/p/1/4/0/3/1403-thickbox_default.jpg"
"60";"1";"Push Up Promachine";"2";"1";"PUP";"https://pesaschile.cl/2/img/p/1/4/0/4/1404-thickbox_default.jpg"
"61";"1";"Push Up metalico";"2";"1";"PUM";"https://pesaschile.cl/2/img/p/1/4/1/4/1414-thickbox_default.jpg"
"63";"1";"Anillas olimpicas";"2";"1";"BSA1";"https://pesaschile.cl/2/img/p/1/3/1/131-thickbox_default.jpg"
"63";"1";"Anillas olimpicas";"2";"1";"BSA1";"https://pesaschile.cl/2/img/p/7/2/9/729-thickbox_default.jpg"
"63";"1";"Anillas olimpicas";"2";"1";"BSA1";"https://pesaschile.cl/2/img/p/7/3/0/730-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/7/4/4/744-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/7/4/5/745-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/7/4/6/746-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/7/4/7/747-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/1/1/1/4/1114-thickbox_default.jpg"
"65";"1";"TRX Alterntiva";"2";"1";"BSA";"https://pesaschile.cl/2/img/p/1/1/1/5/1115-thickbox_default.jpg"
"67";"1";"Barra Mancuerna Preolímpica";"2";"1";"BPM";"https://pesaschile.cl/2/img/p/1/4/6/0/1460-thickbox_default.jpg"
"67";"1";"Barra Mancuerna Preolímpica";"2";"1";"BPM";"https://pesaschile.cl/2/img/p/1/4/6/1/1461-thickbox_default.jpg"
"68";"1";"Barra Recta Preolímpica";"32";"1";"BPR150";"https://pesaschile.cl/2/img/p/1/5/6/156-thickbox_default.jpg"
"69";"1";"Barra Romana Preolímpica";"2";"1";"BPRO";"https://pesaschile.cl/2/img/p/1/5/7/157-thickbox_default.jpg"
"70";"1";"Barra W Preolímpica";"32";"1";"BPW";"https://pesaschile.cl/2/img/p/1/5/9/159-thickbox_default.jpg"
"71";"1";"Barra Z Preolímpica";"2";"1";"BPZ";"https://pesaschile.cl/2/img/p/7/8/3/783-thickbox_default.jpg"
"72";"0";"Par Discos Acero Promachine 1kg";"139";"1";"DPP01";"https://pesaschile.cl/2/img/p/7/7/3/773-thickbox_default.jpg"
"73";"0";"Par Discos Acero Promachine 2.5kg";"32";"1";"DPP025";"https://pesaschile.cl/2/img/p/7/7/4/774-thickbox_default.jpg"
"74";"0";"Par Discos Acero Promachine 3kg";"2";"1";"DPP03";"https://pesaschile.cl/2/img/p/5/3/3/533-thickbox_default.jpg"
"75";"0";"Par Discos Acero Promachine 5kg";"32";"1";"DPP05";"https://pesaschile.cl/2/img/p/5/3/4/534-thickbox_default.jpg"
"76";"0";"Par Discos Acero Promachine 10kg";"32";"1";"DPP10";"https://pesaschile.cl/2/img/p/5/3/5/535-thickbox_default.jpg"
"77";"0";"Par Discos Acero Promachine 15kg";"32";"1";"DPP15";"https://pesaschile.cl/2/img/p/5/3/6/536-thickbox_default.jpg"
"78";"0";"Par Discos Acero Promachine 20kg";"2";"1";"DPP20";"https://pesaschile.cl/2/img/p/5/3/7/537-thickbox_default.jpg"
"83";"1";"Par Discos Mastodonte 2,5Kg";"32";"1";"DPM025";"https://pesaschile.cl/2/img/p/4/1/0/410-thickbox_default.jpg"
"84";"1";"Par Discos Mastodonte 1,25Kg";"32";"1";"DPM0125";"https://pesaschile.cl/2/img/p/4/0/8/408-thickbox_default.jpg"
"85";"1";"Par Discos Mastodonte 5Kg";"32";"1";"DPM05";"https://pesaschile.cl/2/img/p/4/0/9/409-thickbox_default.jpg"
"87";"1";"Barra Olímpica Eco";"2";"1";"BORE";"https://pesaschile.cl/2/img/p/1/3/8/138-thickbox_default.jpg"
"87";"1";"Barra Olímpica Eco";"2";"1";"BORE";"https://pesaschile.cl/2/img/p/3/5/4/354-thickbox_default.jpg"
"87";"1";"Barra Olímpica Eco";"2";"1";"BORE";"https://pesaschile.cl/2/img/p/7/4/8/748-thickbox_default.jpg"
"87";"1";"Barra Olímpica Eco";"2";"1";"BORE";"https://pesaschile.cl/2/img/p/7/4/9/749-thickbox_default.jpg"
"88";"1";"Banco Scott JR";"13";"1";"UB006J";"https://pesaschile.cl/2/img/p/1/5/1/5/1515-thickbox_default.jpg"
"88";"1";"Banco Scott JR";"13";"1";"UB006J";"https://pesaschile.cl/2/img/p/1/5/1/6/1516-thickbox_default.jpg"
"90";"1";"Barra Z Olímpica";"2";"1";"BOZ";"https://pesaschile.cl/2/img/p/3/1/8/318-thickbox_default.jpg"
"91";"1";"Collarines HWM";"2";"1";"CO";"https://pesaschile.cl/2/img/p/1/1/2/3/1123-thickbox_default.jpg"
"91";"1";"Collarines HWM";"2";"1";"CO";"https://pesaschile.cl/2/img/p/1/1/2/4/1124-thickbox_default.jpg"
"92";"1";"Par Discos Acero Olímpicos 2,5Kg";"18";"1";"DOA025";"https://pesaschile.cl/2/img/p/1/7/5/0/1750-thickbox_default.jpg"
"93";"1";"Par Discos Acero Olímpicos 5kg";"18";"1";"DOA05";"https://pesaschile.cl/2/img/p/1/1/2/5/1125-thickbox_default.jpg"
"94";"1";"Par DiscosAcero Olímpicos 10Kg";"18";"1";"DOA10";"https://pesaschile.cl/2/img/p/6/3/6/636-thickbox_default.jpg"
"94";"1";"Par DiscosAcero Olímpicos 10Kg";"18";"1";"DOA10";"https://pesaschile.cl/2/img/p/1/1/7/6/1176-thickbox_default.jpg"
"95";"1";"Par Discos Acero Olímpicos 15Kg";"18";"1";"DOA15";"https://pesaschile.cl/2/img/p/3/5/1/351-thickbox_default.jpg"
"95";"1";"Par Discos Acero Olímpicos 15Kg";"18";"1";"DOA15";"https://pesaschile.cl/2/img/p/6/3/5/635-thickbox_default.jpg"
"96";"1";"Par Discos Acero Olímpicos 20Kg";"18";"1";"DOA20";"https://pesaschile.cl/2/img/p/1/1/2/6/1126-thickbox_default.jpg"
"97";"1";"Par Discos Engomados 1,25kg";"2";"1";"DOE0125";"https://pesaschile.cl/2/img/p/5/9/2/592-thickbox_default.jpg"
"98";"1";"Par Discos Engomados 2,5kg";"2";"1";"DOE025";"https://pesaschile.cl/2/img/p/5/9/3/593-thickbox_default.jpg"
"99";"1";"Par Discos Engomados 5kg";"2";"1";"DOE05";"https://pesaschile.cl/2/img/p/5/9/4/594-thickbox_default.jpg"
"100";"1";"Par Discos Engomados 10kg";"2";"1";"DOE10";"https://pesaschile.cl/2/img/p/5/9/5/595-thickbox_default.jpg"
"101";"1";"Par Discos Engomados 15kg";"2";"1";"DOE15";"https://pesaschile.cl/2/img/p/5/9/6/596-thickbox_default.jpg"
"102";"1";"Par Discos Engomados 20kg";"2";"1";"DOE20";"https://pesaschile.cl/2/img/p/7/7/5/775-thickbox_default.jpg"
"103";"1";"Kettlebell Vinilo 16Kg";"15";"1";"KV16";"https://pesaschile.cl/2/img/p/1/7/5/175-thickbox_default.jpg"
"104";"1";"Kettlebell Vinilo 8Kg";"15";"1";"KV08";"https://pesaschile.cl/2/img/p/1/1/3/6/1136-thickbox_default.jpg"
"104";"1";"Kettlebell Vinilo 8Kg";"15";"1";"KV08";"https://pesaschile.cl/2/img/p/1/2/6/0/1260-thickbox_default.jpg"
"105";"1";"Kettlebell Vinilo 20Kg";"15";"1";"KV20";"https://pesaschile.cl/2/img/p/1/7/7/177-thickbox_default.jpg"
"106";"1";"Kettlebell Vinilo 6Kg";"15";"1";"KV06";"https://pesaschile.cl/2/img/p/1/1/3/5/1135-thickbox_default.jpg"
"106";"1";"Kettlebell Vinilo 6Kg";"15";"1";"KV06";"https://pesaschile.cl/2/img/p/1/2/5/9/1259-thickbox_default.jpg"
"108";"1";"Kettlebell Vinilo 12Kg";"15";"1";"KV12";"https://pesaschile.cl/2/img/p/1/1/3/8/1138-thickbox_default.jpg"
"108";"1";"Kettlebell Vinilo 12Kg";"15";"1";"KV12";"https://pesaschile.cl/2/img/p/1/2/6/2/1262-thickbox_default.jpg"
"109";"0";"Kettlebell Acero 16Kg";"2";"1";"KA16";"https://pesaschile.cl/2/img/p/1/8/1/181-thickbox_default.jpg"
"110";"1";"Kettlebell Acero 20Kg";"15";"1";"KA20";"https://pesaschile.cl/2/img/p/1/8/2/182-thickbox_default.jpg"
"111";"0";"Kettlebell Acero 4Kg";"2";"1";"KA04";"https://pesaschile.cl/2/img/p/1/8/3/183-thickbox_default.jpg"
"113";"0";"Kettlebell Acero 12Kg";"2";"1";"KA12";"https://pesaschile.cl/2/img/p/1/8/5/185-thickbox_default.jpg"
"114";"1";"Kettlebell Vinilo 4Kg";"15";"1";"KV04";"https://pesaschile.cl/2/img/p/1/8/6/186-thickbox_default.jpg"
"114";"1";"Kettlebell Vinilo 4Kg";"15";"1";"KV04";"https://pesaschile.cl/2/img/p/1/2/5/8/1258-thickbox_default.jpg"
"115";"1";"Kettlebell Vinilo 10Kg";"15";"1";"KV10";"https://pesaschile.cl/2/img/p/1/1/3/7/1137-thickbox_default.jpg"
"115";"1";"Kettlebell Vinilo 10Kg";"15";"1";"KV10";"https://pesaschile.cl/2/img/p/1/2/6/1/1261-thickbox_default.jpg"
"117";"1";"Banquillo Abdominales Regulable Promachine";"2";"1";"MBAR";"https://pesaschile.cl/2/img/p/6/6/7/667-thickbox_default.jpg"
"119";"0";"Banquillo Inclinable Promachine";"2";"1";"PM017";"https://pesaschile.cl/2/img/p/1/2/6/5/1265-thickbox_default.jpg"
"119";"0";"Banquillo Inclinable Promachine";"2";"1";"PM017";"https://pesaschile.cl/2/img/p/1/2/6/6/1266-thickbox_default.jpg"
"119";"0";"Banquillo Inclinable Promachine";"2";"1";"PM017";"https://pesaschile.cl/2/img/p/1/2/6/7/1267-thickbox_default.jpg"
"124";"0";"Press Banca Olimpica Promachine";"2";"1";"MAPPP";"https://pesaschile.cl/2/img/p/6/2/9/629-thickbox_default.jpg"
"125";"0";"Par Discos Acero 2Kg Promachine";"32";"1";"DPP02";"https://pesaschile.cl/2/img/p/5/3/2/532-thickbox_default.jpg"
"127";"1";"Balón Pilates 55 cm";"139";"1";"BP55";"https://pesaschile.cl/2/img/p/1/1/2/0/1120-thickbox_default.jpg"
"128";"1";"Balón Pilates 65 cm";"2";"1";"BP65";"https://pesaschile.cl/2/img/p/1/1/2/1/1121-thickbox_default.jpg"
"129";"1";"Balón Pilates 75 cm";"33";"1";"BP75";"https://pesaschile.cl/2/img/p/1/1/2/2/1122-thickbox_default.jpg"
"130";"1";"Expander Tube Básico";"35";"1";"FIETB";"https://pesaschile.cl/2/img/p/1/3/1/2/1312-thickbox_default.jpg"
"132";"1";"Expander Tube Reforzado";"35";"1";"FIETR";"https://pesaschile.cl/2/img/p/1/3/1/3/1313-thickbox_default.jpg"
"133";"1";"Rodillera Mac David Protector";"33";"1";"";"https://pesaschile.cl/2/img/p/1/5/1/9/1519-thickbox_default.jpg"
"134";"0";"Banda Elástica Aerobica Hard";"35";"1";"BE065";"https://pesaschile.cl/2/img/p/7/9/2/792-thickbox_default.jpg"
"135";"1";"Bosu";"35";"1";"B012";"https://pesaschile.cl/2/img/p/1/7/8/7/1787-thickbox_default.jpg"
"135";"1";"Bosu";"35";"1";"B012";"https://pesaschile.cl/2/img/p/1/7/8/9/1789-thickbox_default.jpg"
"135";"1";"Bosu";"35";"1";"B012";"https://pesaschile.cl/2/img/p/1/7/9/0/1790-thickbox_default.jpg"
"136";"1";"Colchoneta";"2";"1";"FIC";"https://pesaschile.cl/2/img/p/2/1/4/214-thickbox_default.jpg"
"142";"1";"Matt de Yoga";"35";"1";"FIM";"https://pesaschile.cl/2/img/p/1/2/7/5/1275-thickbox_default.jpg"
"142";"1";"Matt de Yoga";"35";"1";"FIM";"https://pesaschile.cl/2/img/p/1/2/7/6/1276-thickbox_default.jpg"
"142";"1";"Matt de Yoga";"35";"1";"FIM";"https://pesaschile.cl/2/img/p/1/2/7/7/1277-thickbox_default.jpg"
"142";"1";"Matt de Yoga";"35";"1";"FIM";"https://pesaschile.cl/2/img/p/1/2/7/8/1278-thickbox_default.jpg"
"144";"1";"Par Mancuerna PVC 1 Kg";"2";"1";"MP01";"https://pesaschile.cl/2/img/p/1/1/8/1/1181-thickbox_default.jpg"
"145";"1";"Par Mancuerna PVC 1,5 Kg";"2";"1";"MP015";"https://pesaschile.cl/2/img/p/1/1/7/7/1177-thickbox_default.jpg"
"146";"1";"Par Mancuerna PVC 2 Kg";"2";"1";"MP02";"https://pesaschile.cl/2/img/p/1/1/7/8/1178-thickbox_default.jpg"
"147";"1";"Par Mancuerna PVC 2,5 Kg";"35";"1";"MP025";"https://pesaschile.cl/2/img/p/1/1/7/9/1179-thickbox_default.jpg"
"148";"1";"Par Mancuerna PVC 3 Kg";"2";"1";"MP03";"https://pesaschile.cl/2/img/p/1/1/8/0/1180-thickbox_default.jpg"
"149";"1";"Step Aeróbico";"35";"1";"FISA";"https://pesaschile.cl/2/img/p/2/3/4/234-thickbox_default.jpg"
"149";"1";"Step Aeróbico";"35";"1";"FISA";"https://pesaschile.cl/2/img/p/9/0/2/902-thickbox_default.jpg"
"149";"1";"Step Aeróbico";"35";"1";"FISA";"https://pesaschile.cl/2/img/p/9/0/3/903-thickbox_default.jpg"
"150";"0";"Trampolin de entrenamiento";"2";"1";"FIMT";"https://pesaschile.cl/2/img/p/8/0/7/807-thickbox_default.jpg"
"151";"1";"Set Balones Medicinales 31KG";"10";"1";"PBMP";"https://pesaschile.cl/2/img/p/1/7/2/5/1725-thickbox_default.jpg"
"152";"1";"Bumpers plate + Barra olímpica Elite HWM";"2";"1";"PBH100";"https://pesaschile.cl/2/img/p/7/0/9/709-thickbox_default.jpg"
"153";"1";"Set Bumpers plate 150kg. (320 Lb)";"61";"1";"PB150";"https://pesaschile.cl/2/img/p/5/6/2/562-thickbox_default.jpg"
"153";"1";"Set Bumpers plate 150kg. (320 Lb)";"61";"1";"PB150";"https://pesaschile.cl/2/img/p/1/0/8/0/1080-thickbox_default.jpg"
"157";"0";"Pack Kettbells HWM Light";"2";"1";"";"https://pesaschile.cl/2/img/p/3/6/5/365-thickbox_default.jpg"
"159";"0";"Pack Kettlebell Vinilo Full";"2";"1";"PKVF";"https://pesaschile.cl/2/img/p/1/3/5/9/1359-thickbox_default.jpg"
"160";"1";"Pack Acero Olímpico 107.5";"46";"1";"PAB";"https://pesaschile.cl/2/img/p/6/5/0/650-thickbox_default.jpg"
"161";"1";"Pack Olímpico Engomado con Barra";"46";"1";"PEB";"https://pesaschile.cl/2/img/p/1/3/4/4/1344-thickbox_default.jpg"
"164";"1";"Balón Medicinal Sin Bote 7kg";"2";"1";"BSB07";"https://pesaschile.cl/2/img/p/1/1/6/1/1161-thickbox_default.jpg"
"166";"1";"Balón Medicinal Sin Bote 10kg";"2";"1";"BSB10";"https://pesaschile.cl/2/img/p/1/1/6/2/1162-thickbox_default.jpg"
"167";"1";"Balón Medicinal Sin Bote 9kg";"139";"1";"BSB09";"https://pesaschile.cl/2/img/p/1/1/6/3/1163-thickbox_default.jpg"
"168";"1";"Pesos Muñeca Tobillo 2,5kg(2 unidades)";"2";"1";"PM2.5";"https://pesaschile.cl/2/img/p/7/1/3/713-thickbox_default.jpg"
"168";"1";"Pesos Muñeca Tobillo 2,5kg(2 unidades)";"2";"1";"PM2.5";"https://pesaschile.cl/2/img/p/7/1/4/714-thickbox_default.jpg"
"170";"1";"Mancuerna Barbell 21.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/1/1451-thickbox_default.jpg"
"171";"1";"Mancuerna Barbell 5.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/2/1452-thickbox_default.jpg"
"172";"1";"Mancuerna Barbell 7.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/3/1453-thickbox_default.jpg"
"173";"1";"Mancuerna Barbell 9.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/4/1454-thickbox_default.jpg"
"174";"1";"Mancuerna Barbell 11.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/5/1455-thickbox_default.jpg"
"175";"1";"Mancuerna Barbell 13.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/6/1456-thickbox_default.jpg"
"176";"1";"Mancuerna Barbell 15.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/9/1459-thickbox_default.jpg"
"177";"1";"Mancuerna Barbell 16.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/8/1458-thickbox_default.jpg"
"178";"1";"Mancuerna Mastodonte 4.3 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/6/8/268-thickbox_default.jpg"
"178";"1";"Mancuerna Mastodonte 4.3 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/1/491-thickbox_default.jpg"
"179";"1";"Mancuerna Mastodonte 6.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/6/9/269-thickbox_default.jpg"
"179";"1";"Mancuerna Mastodonte 6.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/2/492-thickbox_default.jpg"
"180";"1";"Mancuerna Mastodonte 9.3kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/7/0/270-thickbox_default.jpg"
"180";"1";"Mancuerna Mastodonte 9.3kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/3/493-thickbox_default.jpg"
"181";"1";"Mancuerna Mastodonte 11.8kg";"2";"1";"";"https://pesaschile.cl/2/img/p/2/7/1/271-thickbox_default.jpg"
"181";"1";"Mancuerna Mastodonte 11.8kg";"2";"1";"";"https://pesaschile.cl/2/img/p/4/9/4/494-thickbox_default.jpg"
